molecule_chembl_id,canonical_smiles,pIC50,fingerprint
CHEMBL289316,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(Cc3cc(F)c(F)c(F)c3)o2)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E650>
CHEMBL418234,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(Cc3ccc(F)cc3)n2)cc1,5.327902142064283,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E6C0>
CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,5.050609993355087,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E730>
CHEMBL95966,Cc1cccc(OCC(O)CNCc2ccc(NS(C)(=O)=O)cc2)c1,5.619788758288394,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E7A0>
CHEMBL95754,Cc1ccccc1OCC(O)CN1CCN(c2ccc(NS(C)(=O)=O)cc2)CC1,5.481486060122113,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E810>
CHEMBL95727,COCCc1ccc(OCC(O)CNCc2ccc(NS(C)(=O)=O)cc2)cc1,5.136677139879544,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E880>
CHEMBL1193886,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1,5.619788758288394,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E8F0>
CHEMBL98773,Cc1ccccc1OCC(O)CNCc1ccc(-n2ccnc2)cc1,6.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E960>
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,7.7447274948966935,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99E9D0>
CHEMBL1193886,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1,5.795880017344075,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EA40>
CHEMBL57486,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EAB0>
CHEMBL104076,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1)OCCc1ccccc1,5.154901959985743,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EB20>
CHEMBL106746,CNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EB90>
CHEMBL323113,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6.013228265733755,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EC00>
CHEMBL284782,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,5.301029995663981,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EC70>
CHEMBL104061,CCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99ECE0>
CHEMBL104193,O=C(NCCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6.795880017344075,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99ED50>
CHEMBL318165,CCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.096910013008056,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EDC0>
CHEMBL104127,CS(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,5.154901959985743,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EE30>
CHEMBL321957,CCCCCCOC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EEA0>
CHEMBL545363,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1.Cl,5.769551078621726,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EF10>
CHEMBL552615,CS(=O)(=O)Nc1ccc(OCC(O)CNCCOc2ccc(-n3ccnc3)cc2)cc1.Cl,5.619788758288394,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EF80>
CHEMBL536800,CC(C)(COc1ccc(-n2ccnc2)cc1)NCC(O)COc1ccc(NS(C)(=O)=O)cc1.Cl.Cl,5.585026652029182,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99EFF0>
CHEMBL11629,Cc1nccn1-c1ccc(OCCNCC(O)COc2ccc(NS(C)(=O)=O)cc2)cc1.O=P(O)(O)O,5.552841968657781,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F060>
CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,5.045757490560675,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F0D0>
CHEMBL348501,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(NC[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1,5.700000503883016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F140>
CHEMBL154419,C[C@H](CNc1ccc(CC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F1B0>
CHEMBL347582,Cc1ccc(S(=O)(=O)NC(=O)Cc2cccc(NC[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)c2)cc1,5.300000202445418,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F220>
CHEMBL302893,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-n2ncc(-c3ccc(OC(F)(F)F)cc3)n2)cc1,5.886056647693163,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F290>
CHEMBL304991,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-n2ncc(Cc3ccc(OC(F)(F)F)cc3)n2)cc1,5.585026652029182,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99F300>
